,country,forecast_2023,forecast_2024,forecast_2025,forecast_2026,forecast_2027,forecast_2028,forecast_2029,forecast_2030,forecast_2031,forecast_2032,forecast_2033,forecast_2034,forecast_2035,forecast_2036,forecast_2037,forecast_2038
36,Bulgaria,43.628936767578125,44.476318359375,44.38444137573242,44.56737518310547,45.34597396850586,45.683372497558594,45.574501037597656,45.671348571777344,46.03031921386719,46.20646286010742,46.5355339050293,46.6236572265625,46.61616134643555,46.1782112121582,45.99353790283203,46.08976364135742
37,Burkina Faso,6.365062713623047,6.548217296600342,6.696925163269043,6.816885948181152,6.912893295288086,6.989799499511719,7.051341533660889,7.099647045135498,7.137928485870361,7.1681599617004395,7.192165851593018,7.2115349769592285,7.2275776863098145,7.240207195281982,7.25005578994751,7.257732391357422
38,Burundi,0.851978600025177,0.8746415972709656,0.890593945980072,0.9021994471549988,0.9105194807052612,0.9162243604660034,0.919826328754425,0.9216662645339966,0.9221952557563782,0.9220609664916992,0.9216398596763611,0.9213278889656067,0.9209069013595581,0.9204812049865723,0.9201633930206299,0.9197548627853394
39,Cambodia,20.572097778320312,20.837596893310547,21.02449607849121,21.155418395996094,21.242145538330078,21.294462203979492,21.31673812866211,21.322303771972656,21.318132400512695,21.313983917236328,21.306488037109375,21.296375274658203,21.29648780822754,21.296262741088867,21.297449111938477,21.296693801879883
40,Cameroon,10.095682144165039,10.143112182617188,10.188617706298828,10.228060722351074,10.259450912475586,10.279688835144043,10.291927337646484,10.301896095275879,10.313584327697754,10.325031280517578,10.333833694458008,10.341086387634277,10.346258163452148,10.350005149841309,10.355184555053711,10.356574058532715
41,Canada,533.3707885742188,533.3160400390625,532.5196533203125,531.9161376953125,530.2630615234375,528.8453369140625,527.565185546875,527.435302734375,527.9512329101562,530.00927734375,532.6262817382812,537.4389038085938,546.4462280273438,545.1467895507812,547.4634399414062,552.21142578125
42,Cape Verde,0.5668309926986694,0.5744571685791016,0.5765225291252136,0.5744442939758301,0.5657401084899902,0.5704784393310547,0.5764861106872559,0.5838387608528137,0.5912020206451416,0.5985236167907715,0.6047443151473999,0.6082770824432373,0.6099367737770081,0.6160798668861389,0.6185540556907654,0.6203194856643677
43,Central African Republic,0.23504340648651123,0.22524122893810272,0.21215306222438812,0.1983688473701477,0.18839743733406067,0.17993810772895813,0.1477370262145996,0.12453468888998032,0.13021083176136017,0.14675462245941162,0.17006251215934753,0.19057516753673553,0.20732904970645905,0.22080203890800476,0.23124220967292786,0.23548881709575653
44,Central America (GCP),157.8279266357422,156.51930236816406,154.6865997314453,154.77842712402344,155.10382080078125,155.4892578125,156.41043090820312,158.7919464111328,163.7317657470703,167.0518798828125,169.42486572265625,171.5765838623047,174.08016967773438,173.67874145507812,174.00308227539062,174.1669158935547
45,Chad,2.3873977661132812,2.395390272140503,2.4018077850341797,2.405073404312134,2.4051663875579834,2.4051706790924072,2.405534267425537,2.4056780338287354,2.4063637256622314,2.4071199893951416,2.407646656036377,2.4083120822906494,2.408388376235962,2.407980442047119,2.408458948135376,2.4084770679473877
